,parameters,N,permuted,not permuted,ndarray,timeit
0,10,100,0.17716289102099836,0.08530429803067818,0.07076344097731635,1000.0
1,10,500,0.15190810395870358,0.08725364302517846,0.0775807109894231,1000.0
2,10,1000,0.23137256898917258,0.09276520396815613,0.08314115001121536,1000.0
3,10,1500,0.23163488402497023,0.09889123699394986,0.08934117801254615,1000.0
4,10,2000,0.2756380050559528,0.10453562502516434,0.0946936989785172,1000.0
5,50,100,0.41717492998577654,0.289084167976398,0.2080085090128705,1000.0
6,50,500,0.4908538580057211,0.3106609790120274,0.22106756700668484,1000.0
7,50,1000,0.6336881190072745,0.34047968400409445,0.23798454395728186,1000.0
8,50,1500,0.7541888140258379,0.37649843498365954,0.2664291819673963,1000.0
9,50,2000,0.8416786579764448,0.38290147902444005,0.2828052399563603,1000.0
10,100,100,0.7180065920110792,0.5297046470222995,0.33962457097368315,1000.0
11,100,500,0.8991891569457948,0.5493995439610444,0.36925650999182835,1000.0
12,100,1000,1.0048726769746281,0.5751189350266941,0.41580222896300256,1000.0
13,100,1500,1.257027952990029,0.6333202749956399,0.467735160025768,1000.0
14,100,2000,1.3515064969542436,0.6672574990079738,0.5108086949912831,1000.0
15,500,100,2.7003250929992646,2.3133151729707606,1.475787803006824,1000.0
16,500,500,3.740778170991689,2.6243573899846524,1.7731258179992437,1000.0
17,500,1000,5.338396527979057,3.343444255995564,2.3587438709801063,1000.0
18,500,1500,8.139911281992681,4.58442563196877,3.7138685929821804,1000.0
19,500,2000,11.105161054991186,5.8919329850468785,5.111260043981019,1000.0
20,1000,100,0.5940088269999251,0.46404761995654553,0.2943896930082701,100.0
21,1000,500,0.9479875630349852,0.5815672460012138,0.3914708759984933,100.0
22,1000,1000,1.8510855969507247,0.8780590299866162,0.6979705760022625,100.0
23,1000,1500,1.9249723470420577,1.0749024910037406,0.8785188749898225,100.0
24,1000,2000,2.5367979570291936,1.3068288919748738,1.1429917600471526,100.0
25,5000,100,3.910204829997383,3.2891087530297227,1.930087074986659,100.0
26,5000,500,7.431051047984511,5.848846697015688,4.410744777007494,100.0
27,5000,1000,11.393699432024732,8.658425002009608,7.047111457970459,100.0
28,5000,1500,14.896065093984362,10.883169716980774,9.260530158004258,100.0
29,5000,2000,17.62241480097873,12.85036845196737,11.318427270976827,100.0
30,10000,100,0.9539493580232374,0.7534342790022492,0.46752546896459535,10.0
31,10000,500,1.5168936729896814,1.210427557991352,0.8894105550134555,10.0
32,10000,1000,2.3519372349837795,1.7861533630057238,1.4358252309611998,10.0
