# stan_version_major = 2
# stan_version_minor = 18
# stan_version_patch = 0
# model = test_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file =  (Default)
# init = 2 (Default)
# random
#   seed = 608018223
# output
#   file = output3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,y,x.1,x.2,x.3,Z.1.1,Z.2.1,Z.3.1,Z.4.1,Z.1.2,Z.2.2,Z.3.2,Z.4.2,Z.1.3,Z.2.3,Z.3.3,Z.4.3,Z.1.4,Z.2.4,Z.3.4,Z.4.4,Z.1.5,Z.2.5,Z.3.5,Z.4.5,Z.1.6,Z.2.6,Z.3.6,Z.4.6
# Adaptation terminated
# Step size = 0.582431
# Diagonal elements of inverse mass matrix:
# 0.979712, 0.793672, 1.00082, 0.948749, 0.990856, 0.974575, 0.906898, 1.1007, 4.0549, 3.90923, 3.44627, 3.11852, 8.3939, 8.14382, 8.11117, 8.75276, 14.7245, 16.4875, 15.963, 16.2382, 22.1122, 25.583, 20.782, 22.5346, 29.7167, 31.4944, 34.5808, 30.7244
-12.1376,0.838984,0.582431,3,7,0,24.194,1.30183,3.00613,0.590967,1.96195,0.851451,2.29624,2.35823,3.51288,0.562575,2.86441,-0.783726,2.67288,4.61112,4.94983,0.403368,2.46597,0.458087,1.82884,-1.61698,8.89408,0.260483,-4.24374,7.90973,9.46577,-0.471255,0.460213,6.18542,5.41494
-9.88632,0.847668,0.582431,3,7,0,26.2645,0.547039,0.756119,2.08656,4.14525,0.956015,1.01138,5.13708,3.24832,-0.23718,2.28154,4.37483,3.87431,-0.471644,0.0659482,4.11975,5.80008,-2.52356,1.99551,5.10082,0.274825,3.47704,9.8952,5.51786,3.38271,2.76366,-6.88574,-2.6515,-4.17242
-14.812,0.793439,0.582431,3,7,0,24.1689,-0.251746,0.868086,2.75623,1.35312,1.83368,3.53807,1.46199,3.25658,-1.06931,3.014,3.87971,2.44356,4.59204,3.85415,0.468137,0.561699,5.1167,-4.31952,6.40714,9.74923,3.61086,-6.10182,-3.99307,4.52598,0.417983,8.68409,6.83506,11.2029
-10.054,0.919706,0.582431,3,7,0,28.0595,-0.515113,0.615931,2.26533,4.04215,-0.486192,0.319991,1.82317,4.14586,-0.465278,2.05096,2.65704,4.14726,-1.45115,-1.19119,3.71596,4.44282,0.385233,-2.41087,-2.25585,-0.857222,-3.92165,9.65527,7.87934,2.23079,-0.284526,-0.469939,-0.235893,0.638968
-7.18218,0.546205,0.582431,3,7,0,28.7892,-0.900658,0.586376,1.47928,4.22354,0.366843,0.799151,3.48615,5.38929,1.24527,4.02184,4.41279,3.41718,1.13682,-0.0595594,3.68925,5.4756,2.01287,3.09871,0.450228,2.13154,-3.07641,8.82753,2.89025,0.928634,4.69115,3.37605,-1.63886,-0.307646
-9.23085,0.66761,0.582431,3,7,0,23.9966,0.867123,1.40088,1.65244,2.00042,1.47953,3.40156,2.25201,3.48136,2.24895,-1.98557,2.14931,4.5106,0.338797,4.4545,1.9509,2.85985,0.201687,0.669172,6.66292,7.0129,4.774,-7.25039,3.52483,6.93975,-2.48771,0.804877,8.76375,8.67982
-16.6885,0.705842,0.582431,3,7,0,24.863,-0.527725,1.41297,3.06913,3.6992,-0.890063,1.17405,4.25634,5.373,-1.15822,5.56933,0.467818,3.90761,2.04018,1.98718,-0.243332,3.80856,-0.695772,9.36452,6.26212,-3.75488,-4.60643,-7.64525,2.37175,-3.50402,1.39044,-0.392324,8.45665,2.10234
-12.8326,0.998515,0.582431,3,7,0,25.1951,-0.560604,2.04425,2.09868,3.74934,0.769304,2.07728,2.99256,4.21927,-2.61311,4.54504,0.130317,2.59235,1.02809,-0.355922,3.01072,6.51189,-5.54024,7.24161,4.71997,-0.830308,-3.48492,3.1084,6.32934,-4.49796,3.99849,-7.92704,10.4413,5.72112
-10.0562,0.966685,0.582431,3,7,0,23.2134,-0.0501839,-0.351678,2.71176,1.98833,1.56464,1.71824,1.837,4.034,1.95869,0.372783,1.59153,2.50162,1.52126,7.36022,1.63001,4.30217,4.31411,-2.71106,-2.91353,5.23166,-0.366144,0.565464,-0.517354,9.5412,0.30205,11.0519,-1.31025,8.5337
-14.5528,0.810595,0.582431,3,7,0,22.899,-1.17678,0.860142,1.41681,2.80778,-0.0543288,2.44616,3.25356,5.22456,2.19434,5.40837,4.97127,5.51126,1.06853,4.14017,3.39557,-1.84353,0.911949,12.5862,7.5483,6.30902,-8.22817,2.8685,6.45577,0.972264,4.55191,-4.50924,8.579,3.11847
-14.3425,0.96931,0.582431,3,7,0,29.1483,1.29595,0.137043,2.3927,3.47013,2.02947,1.48197,2.46002,2.71212,0.00873472,-2.20323,1.94856,3.26349,1.98114,2.38399,2.47074,9.37202,2.4964,-8.23456,-1.14107,2.41736,8.60147,1.15523,-0.377776,4.48042,-5.81555,8.14449,-2.57319,6.99764
-14.9465,0.951568,0.582431,3,7,0,28.7296,-1.20717,1.86841,2.23176,2.13925,-0.319977,1.99313,3.83897,5.84724,2.78787,6.04947,3.81472,4.7798,-0.765036,0.560004,3.81978,-1.11073,-1.37213,8.79428,8.56193,8.93411,-6.18021,2.19099,6.62467,2.36038,7.90207,-4.60451,5.76444,1.89958
