# stan_version_major = 2
# stan_version_minor = 18
# stan_version_patch = 0
# model = test_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file =  (Default)
# init = 2 (Default)
# random
#   seed = 608012939
# output
#   file = output1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,y,x.1,x.2,x.3,Z.1.1,Z.2.1,Z.3.1,Z.4.1,Z.1.2,Z.2.2,Z.3.2,Z.4.2,Z.1.3,Z.2.3,Z.3.3,Z.4.3,Z.1.4,Z.2.4,Z.3.4,Z.4.4,Z.1.5,Z.2.5,Z.3.5,Z.4.5,Z.1.6,Z.2.6,Z.3.6,Z.4.6
# Adaptation terminated
# Step size = 0.632329
# Diagonal elements of inverse mass matrix:
# 0.838734, 1.05676, 1.03387, 1.07697, 0.845445, 1.09926, 1.02227, 0.948187, 3.2313, 4.13693, 4.31587, 4.27921, 8.53643, 11.0726, 7.76522, 7.67943, 15.8502, 17.6099, 18.7888, 15.3626, 22.6931, 26.438, 26.7858, 28.3114, 37.4634, 31.6871, 32.5522, 34.196
-13.5166,0.73583,0.632329,3,7,0,30.3142,0.12237,1.73629,2.50097,2.57159,2.49887,3.00362,0.925501,3.66478,3.19189,-0.18856,0.839287,4.77258,3.29483,1.07398,-0.317828,-2.32828,2.12014,0.712563,1.75022,3.81041,-0.359699,-1.01825,9.88336,10.3134,4.97636,-5.02701,-0.137196,12.5057
-10.149,0.790455,0.632329,3,7,0,26.4451,-0.896002,0.747897,1.73835,2.51741,0.892188,1.36458,4.95136,4.4337,-0.631061,2.79768,3.68659,4.72162,0.922172,2.23997,6.7725,6.90345,1.37979,-1.61711,4.9585,2.54414,3.37231,5.77811,-2.62087,-4.42212,-5.50441,9.82133,6.59672,-4.03174
-10.9159,0.377063,0.632329,3,7,0,34.9718,-0.174443,1.36858,1.57572,3.79602,1.21971,1.4326,1.30894,3.36122,1.36239,0.897818,1.98645,4.2485,2.30582,4.04105,5.3199,-0.0524553,3.87889,4.81721,-1.67366,8.00164,3.05899,5.8309,13.8981,12.4433,6.14946,1.26075,1.13539,9.8261
-10.2974,0.882049,0.632329,3,7,0,23.9909,0.216545,0.632474,2.03583,2.23035,1.17044,2.74067,4.79255,4.637,0.444699,2.84475,3.89246,3.60709,-0.313449,0.265505,0.790769,7.58787,-2.14531,-2.22423,6.5468,-0.0603477,-0.653615,-0.886564,-7.6009,-3.83407,-3.349,3.95629,4.9725,-1.84218
-13.4443,0.746563,0.632329,3,7,0,24.7649,0.859017,1.05353,0.70764,3.54096,1.04773,0.211064,2.66457,2.6984,2.83487,2.16888,3.23963,3.98124,-3.01387,0.526809,6.86617,2.32201,6.05365,3.81153,3.70879,3.8921,-9.88361,3.96626,4.21581,6.55772,-14.1753,1.85876,4.57922,-1.34525
-10.4809,0.957122,0.632329,3,7,0,23.5446,0.794001,1.23855,0.891461,2.6433,1.67912,1.45972,2.42014,3.13741,3.42591,3.02254,3.3003,6.59839,-3.00681,0.993335,2.78726,2.62211,7.25915,4.50868,3.91696,1.27578,-7.39084,0.556073,2.57984,10.7705,-8.07697,0.629165,0.712408,-1.83156
